"group.all" "pa" "lon" "lat" "wc2.0_bio_10m_04" "wc2.0_bio_10m_05" "wc2.0_bio_10m_13" "wc2.0_bio_10m_14"
"215" 1 0 -44.75 -20.75 210.436822964215 28.3827495574951 340 17
"216" 2 0 -50.0833333333333 -25.0833333333333 295.037454089367 27.3012504577637 182 80
"217" 1 0 -50.5833333333333 -23.9166666666667 280.945539729495 28.6235008239746 183 67
"218" 3 0 -51.5833333333333 -26.4166666666667 319.046732700157 25.2317504882812 178 106
"219" 3 0 -52.5833333333333 -26.9166666666667 339.105307541934 28.080249786377 215 150
"220" 2 0 -53.5833333333333 -30.25 413.20203110336 29.4312496185303 143 115
"221" 3 0 -47.0833333333333 -24.4166666666667 262.16320853391 29.197473526001 292 82
"222" 1 0 -42.9166666666667 -17.4166666666667 181.845869041714 30.2317504882812 231 5
"223" 1 0 -45.0833333333333 -19.75 212.529723743609 31.1525001525879 293 11
"224" 3 0 -43.5833333333333 -23.0833333333333 206.5052953822 31.9106788635254 175 45
"225" 2 0 -45.5833333333333 -21.5833333333333 254.963685866909 30.3120002746582 276 22
"226" 3 0 -44.25 -20.0833333333333 193.989179172948 30.1037502288818 322 14
"227" 1 0 -53.75 -30.25 413.1025005539 29.4915008544922 146 117
"228" 3 0 -48.5833333333333 -24.4166666666667 312.243520652059 28.1182498931885 196 55
"229" 2 0 -39.75 -18.75 183.795665221338 31.169116973877 167 50
"230" 3 0 -54.25 -30.25 417.380563880647 30.1180000305176 149 120
"231" 1 0 -49.5833333333333 -27.5833333333333 319.449008187979 26.3290004730225 186 99
"232" 1 0 -51.25 -23.9166666666667 267.941412670875 26.9955005645752 192 73
"233" 1 0 -41.4166666666667 -17.0833333333333 183.774632709224 29.5727500915527 172 16
"234" 2 0 -52.25 -23.0833333333333 271.990162904406 29.7059993743896 157 47
"235" 2 0 -49.25 -28.9166666666667 329.11437224161 29.0262298583984 150 81
"236" 2 0 -39.5833333333333 -17.5833333333333 165.527362448041 30.8072490692139 145 65
"237" 1 0 -52.25 -28.25 354.470908920124 27.8537502288818 199 122
"238" 3 0 -42.5833333333333 -22.0833333333333 244.218902312695 28.1282501220703 264 25
"239" 2 0 -52.4166666666667 -23.75 282.544799518091 28.9717502593994 163 65
"240" 2 0 -54.5833333333333 -30.25 419.957140193693 29.9812507629395 150 119
"241" 2 0 -48.9166666666667 -27.5833333333333 306.606147392571 26.6447505950928 221 90
"242" 2 0 -49.75 -23.5833333333333 271.437887758619 29.7827491760254 167 42
"243" 1 0 -46.4166666666667 -19.9166666666667 212.092920747178 28.5002498626709 310 14
"244" 3 0 -50.25 -27.4166666666667 324.726546511638 24.8595008850098 163 100
"245" 1 0 -55.0833333333333 -30.25 427.453315615919 30.0587501525879 149 114
"246" 2 0 -52.4166666666667 -27.75 351.268500420348 28.4034996032715 195 123
"247" 3 0 -41.0833333333333 -20.4166666666667 211.078650648366 27.4185009002686 205 38
"248" 3 0 -51.0833333333333 -23.9166666666667 268.90439250607 27.1135005950928 193 72
"249" 1 0 -42.0833333333333 -16.75 172.769769435129 32.9417495727539 172 4
"250" 3 0 -46.0833333333333 -22.4166666666667 245.864789168245 28.1714992523193 289 30
"251" 1 0 -39.4166666666667 -17.25 160.265625346016 30.628999710083 150 69
"252" 1 0 -39.0833333333333 -16.75 156.734321584449 30.1468086242676 152 87
"253" 2 0 -46.75 -20.9166666666667 220.010521055047 28.2674999237061 280 16
"254" 1 0 -48.4166666666667 -25.75 305.204995850635 28.7933330535889 269 84
"255" 3 0 -51.9166666666667 -25.9166666666667 310.059424587483 25.6215000152588 191 113
"256" 3 0 -52.5833333333333 -23.4166666666667 285.12967092111 30.2182502746582 159 54
"257" 1 0 -53.9166666666667 -27.75 386.776553922998 30.3957500457764 191 133
"258" 2 0 -48.25 -25.25 295.803856233987 29.349588394165 310 79
"259" 1 0 -44.5833333333333 -19.75 202.589128377751 30.6560001373291 308 11
"260" 2 0 -40.0833333333333 -18.5833333333333 182.978098665511 31.3659992218018 171 43
"261" 2 0 -51.75 -26.75 318.146811764752 25.1625003814697 186 107
"262" 1 0 -40.25 -18.5833333333333 185.245401582864 31.7544994354248 173 39
"263" 1 0 -53.25 -31.4166666666667 410.812341626574 27.6062507629395 142 95
"264" 3 0 -49.9166666666667 -25.5833333333333 303.518359409085 26.7727508544922 182 74
"265" 1 0 -51.0833333333333 -24.25 296.665415452401 29.0067501068115 181 76
"266" 3 0 -50.25 -22.4166666666667 269.692227408223 30.29075050354 203 36
"267" 2 0 -49.9166666666667 -21.75 262.348018371433 31.206750869751 209 25
"268" 2 0 -49.4166666666667 -26.0833333333333 308.442960223731 25.3649997711182 171 78
"269" 2 0 -53.5833333333333 -31.75 421.308117793757 27.9772491455078 134 92
"270" 1 0 -50.75 -22.75 270.474502677083 31.0327491760254 188 40
"271" 1 0 -43.4166666666667 -21.75 212.809699175365 28.2787494659424 264 18
"272" 3 0 -53.5833333333333 -29.75 400.027869943001 29.6550006866455 149 124
"273" 1 0 -52.5833333333333 -27.5833333333333 350.875147726167 28.3947505950928 188 124
"274" 1 0 -50.5833333333333 -25.0833333333333 298.986938659789 27.2137508392334 161 76
"275" 2 0 -49.75 -23.9166666666667 277.239677152145 29.3409996032715 172 43
"276" 1 0 -46.75 -21.4166666666667 228.253687678934 29.3700008392334 265 17
"277" 1 0 -50.25 -25.9166666666667 321.419516450166 26.6867504119873 181 73
"278" 2 0 -53.4166666666667 -26.0833333333333 337.569773240302 28.4937496185303 215 113
"279" 2 0 -51.4166666666667 -28.25 331.141677165175 26.1725006103516 190 115
"280" 2 0 -43.25 -23.0833333333333 198.438594688945 30.9599990844727 159 41
"281" 3 0 -53.75 -30.4166666666667 411.467456154633 28.89674949646 147 115
"282" 3 0 -50.0833333333333 -25.5833333333333 306.648805150127 26.7652492523193 192 76
"283" 1 0 -49.4166666666667 -25.4166666666667 289.590609759039 26.2935009002686 209 77
"284" 2 0 -42.0833333333333 -19.5833333333333 211.557742756689 30.2292499542236 230 18
"285" 3 0 -53.4166666666667 -32.5833333333333 428.689608307143 28.3384990692139 129 84
"286" 3 0 -40.4166666666667 -19.4166666666667 194.576818554903 30.6805000305176 190 39
"287" 3 0 -44.9166666666667 -19.75 213.048221328163 31.2474994659424 296 10
"288" 2 0 -49.4166666666667 -26.25 310.857884799335 25.5467491149902 179 83
"289" 2 0 -48.9166666666667 -27.9166666666667 299.012439394117 25.7779998779297 215 93
"290" 1 0 -50.9166666666667 -22.4166666666667 264.205976161932 31.5262508392334 206 37
"291" 1 0 -41.4166666666667 -22.25 206.264607958144 31.4723072052002 153 33
"292" 3 0 -46.4166666666667 -21.9166666666667 214.090602386476 27.9787502288818 299 27
"293" 3 0 -39.75 -18.0833333333333 173.203890857043 30.9037494659424 177 78
"294" 1 0 -51.0833333333333 -22.9166666666667 267.025414278381 30.6502494812012 186 44
"295" 2 0 -54.9166666666667 -30.75 434.930701587846 29.9099998474121 140 112
"296" 3 0 -53.4166666666667 -25.4166666666667 347.518275218581 29.2719993591309 198 110
"297" 1 0 -53.9166666666667 -30.75 414.172507912722 28.8227500915527 150 113
"298" 1 0 -41.4166666666667 -21.25 215.18988189044 31.8850002288818 187 24
"299" 1 0 -45.75 -23.4166666666667 251.842408749272 26.8754997253418 240 38
"300" 2 0 -52.0833333333333 -24.75 287.059980048597 27.3057498931885 207 87
"301" 1 0 -42.5833333333333 -19.5833333333333 198.227887469875 31.8687496185303 251 11
"302" 3 0 -45.4166666666667 -22.9166666666667 233.122780858791 29.6009998321533 226 22
"303" 3 0 -51.9166666666667 -28.0833333333333 350.785497936819 27.9444999694824 198 120
"304" 3 0 -44.9166666666667 -21.4166666666667 228.558320699303 29.3352508544922 308 19
"305" 2 0 -52.4166666666667 -27.4166666666667 346.383324436627 27.8605003356934 192 127
"306" 1 0 -51.4166666666667 -29.0833333333333 341.195775323447 26.1774997711182 170 117
"307" 3 0 -48.5833333333333 -26.75 316.492474134945 28.9962272644043 223 84
"308" 2 0 -54.75 -30.0833333333333 419.81638488888 30.1364994049072 152 119
